# DPlus_Hosts.txt downloaded from http://www.pistar.uk/downloads/DPlus_Hosts.txt
# DPlus Hosts resolved from dstargateway.org DNS, with additional hosts
# sourced from http://xlxapi.rlx.lu/api.php?do=GetReflectorHostname
# Please report issues at https://www.facebook.com/groups/pistar/
# File created at Friday 30th of March 2018 03:12:12 AM BST
DB0IZ	87.123.187.188
DB0KOE	212.17.239.121
DB0LBX	185.156.156.157
DB0LJ	87.139.70.67
DB0MDX	137.248.151.45
DB0MES	178.201.162.185
DB0MOT	94.249.222.90
DB0NIC	188.194.116.23
DB0OAL	212.125.105.177
DB0OX	77.21.171.65
DB0PBS	192.26.179.90
DB0POB	79.211.53.234
DB0REU	46.87.254.5
DB0RIG	212.87.140.9
DB0RKD	212.17.239.126
DB0RTV	87.191.151.162
DB0SIF	134.176.128.63
DB0SN	134.76.247.241
DB0SOB	91.61.235.250
DB0SWR	87.144.78.115
DB0TVM	129.187.5.189
DB0UHC	194.97.35.190
DB0VA	88.68.27.189
DB0VOX	141.75.245.244
DB0WA	137.226.79.113
DB0WO	194.94.26.157
DB0WTV	79.254.197.233
DB0WZ	80.147.61.209
DB0ZKA	84.128.215.222
DF0MHR	134.91.90.124
DM0BAM	84.186.211.10
DM0HEI	46.85.41.201
DM0HHW	90.187.26.49
DM0HMB	141.22.12.147
DM0IZH	217.91.66.171
DM0LEI	82.83.152.135
DM0MW	141.55.128.102
DM0NOR	77.21.233.224
DM0SAT	79.234.68.251
DO0SRE	109.90.102.6
E24DK	61.7.183.143
E25CD	58.11.25.128
ED1YBK	213.60.194.98
ED1YBL	213.60.194.98
ED1ZAJ	81.169.133.171
ED1ZAM	91.117.67.25
ED2YAO	95.60.102.67
ED2ZAC	83.48.116.61
ED2ZAG	92.176.100.225
ED4ZAD	95.22.167.176
ED5ZAB	158.42.97.21
ED5ZAC	89.39.47.83
ED5ZAE	185.87.96.172
ED5ZAG	62.14.178.43
ED6ZAB	37.152.91.23
ED7ZAC	195.57.121.189
ED7ZAD	212.225.223.238
ED7ZAE	85.137.220.39
F1ZBU	80.251.102.117
F1ZCD	88.187.220.2
F1ZCK	86.248.115.65
F1ZDF	78.203.212.22
F1ZDI	92.129.211.151
F1ZDZ	82.231.84.133
F1ZEM	90.119.175.225
F1ZFG	195.154.33.170
F1ZGK	83.194.254.228
F1ZHY	2.3.162.24
F1ZID	92.188.67.50
F1ZII	88.164.2.51
F1ZIL	91.163.200.150
F1ZJH	213.244.25.3
F1ZJP	82.64.16.222
F1ZJR	90.56.114.41
F1ZJT	78.206.208.208
F1ZKO	78.212.149.145
F1ZKP	90.16.111.167
F1ZLW	86.229.27.185
F1ZLX	78.204.173.219
F1ZYH	90.63.172.220
F5ZCV	92.141.85.128
F5ZFY	80.14.94.180
F5ZJQ	80.119.102.44
F5ZKE	78.239.80.131
F5ZKL	88.166.177.217
F5ZKN	176.134.142.251
F5ZKO	90.70.0.216
F5ZKP	82.224.170.97
F5ZKQ	88.181.254.139
F5ZLB	92.184.100.148
F5ZLC	92.161.168.80
F5ZLG	82.225.216.39
F5ZLK	79.83.11.224
F5ZLM	88.121.60.200
F5ZLU	92.145.11.208
F5ZQH	82.244.202.3
F5ZSS	86.74.95.52
GB3IE	92.236.48.171
GB3IN	80.247.25.81
GB3WL	81.149.15.21
GB7BE	86.177.238.125
GB7BM	62.49.245.46
GB7CD	194.80.132.179
GB7DC	81.174.242.218
GB7DN	86.185.220.251
GB7HZ	92.28.231.204
GB7JD	212.56.100.200
GB7KH	85.119.82.151
GB7SM	86.167.106.14
GB7TP	82.31.87.63
